id,source,category,anomaly_type,sensor,operating_mode,pattern,normal_range,alarm_threshold,trip_threshold,description,action,reference
13,SKAB_EDA,anomaly_pattern,valve2,Temperature,all,decreasing,"N/A","SPC: 이동평균 연속 하락 N≥5 포인트","SPC: 이동평균 기울기 < -0.05°C/s 이상 10초 지속","입구 밸브 닫힘 시 온도 점진적 하락. valve1과 유사 패턴. [수정] z-score 방식 포기 → SPC 트렌드 방식 전환.","밸브 상태 즉시 점검. 입구 라인 압력 확인.",SKAB_EDA
14,SKAB_EDA,anomaly_pattern,valve2,Volume_Flow_RateRMS,low_flow,slight_decrease,"N/A","z-score > 0.45 (저유량 1순위 임계값)","z-score > 1.0","입구 밸브 부분 닫힘으로 유량 소폭 감소. valve1과 유사 패턴. [수정] 저유량 최적 임계값 z > 0.45 적용.","유량 하락 트렌드 지속 시 밸브 이상 판정.",SKAB_EDA
15,SKAB_EDA,anomaly_pattern,valve2,Accelerometer1RMS,all,slight_increase,"N/A","사용 안 함 (탐지 포기)","N/A","입구 밸브 닫힘 시 진동 미세 증가 가능성 있으나 탐지 신뢰도 낮음. [수정] 중/저유량 모드 진동 탐지 포기. 유량 단독 탐지.","중/저유량 모드에서 진동 사용 안 함.",SKAB_EDA
16,SKAB_EDA,anomaly_pattern,rotor_imbalance,Volume_Flow_RateRMS,high_flow,sudden_drop,"N/A","z-score > 1.71 (고유량 2순위 임계값)","z-score > 2.5","로터 불균형 이상에서 유량 급격 변동 (120→0 L/min). [수정] 고유량 모드에서 Volume Flow Rate는 2순위 탐지 지표. 1순위는 Accelerometer1RMS (z > 2.56). 유량 단독 탐지 AUC는 낮고 진동과 조합 시 성능 향상.","1순위 진동(z > 2.56) 확인 후 2순위 유량(z > 1.71) 교차 검증.",SKAB_EDA
17,SKAB_EDA,anomaly_pattern,rotor_imbalance,Accelerometer1RMS,high_flow,spike,"N/A","z-score > 2.56 (고유량 1순위 임계값 - DFT A_max 기반)","z-score > 3.5","로터 불균형 이상에서 진동 스파이크 발생. [수정] 고유량 모드 진동 1순위 임계값 z > 2.56. DFT 윈도우 처리 후 지배 진폭 A_max에 대해 모드별 baseline z-score 계산. AUC 0.803 달성 (모드 분리 후). 기존 z > 2.0은 전체 데이터 혼합 시 AUC 0.543에서 개선.","즉시 DFT 스펙트럼 확인. 1x 회전 주파수 성분 상승 여부 확인. 로터 균형 점검.",SKAB_EDA
18,SKAB_EDA,mode_detection,normal,Volume_Flow_RateRMS,all,threshold,"N/A","N/A","N/A","운영 모드 자동 판별 기준: Flow > 100 L/min → 고유량 / 50~100 L/min → 중유량 / Flow < 50 L/min → 저유량. 모드별 baseline 분리 후 SPC 계산 필수. 모드 전환 시 해당 모드 baseline 즉시 교체.","모드 판별 후 해당 모드 baseline 적용. 모드 전환 이력 기록.",SKAB_EDA
19,SKAB_EDA,data_quality,normal,Volume_Flow_RateRMS,all,quantization,"N/A","N/A","N/A","유량 센서 측정값 정수 반올림 현상. 정상 운영 시 32 L/min에 8326개 집중. 이상 시 31→29→27 L/min으로 단계적 감소. 저유량 z > 0.45 임계값은 이 정수 단계 변화를 포착하도록 설계됨.","정수값 기반 임계값 설정 필요. 1 L/min 단위 변화도 탐지 가능.",SKAB_EDA
20,ISO_10816_7,vibration_standard,normal,Accelerometer1RMS,all,zone_a,"< 2.3 mm/s RMS","N/A","N/A","ISO 10816-7 Zone A: 신규 설치 또는 최근 정비된 펌프의 정상 진동 수준. 산업용 펌프(1kW 이상) 적용 기준.","Zone A 유지 권장.",ISO_10816-7_2009
21,ISO_10816_7,vibration_standard,normal,Accelerometer1RMS,all,zone_b,"2.3~4.5 mm/s RMS","4.5 mm/s","7.1 mm/s","ISO 10816-7 Zone B: 장기 무제한 운전 허용 범위. 정상 운영 중인 펌프 대부분이 이 범위에 해당.","Zone B 내 운전 허용. 트렌드 모니터링 지속.",ISO_10816-7_2009
22,ISO_10816_7,vibration_standard,warning,Accelerometer1RMS,all,zone_c,"4.5~7.1 mm/s RMS","7.1 mm/s","N/A","ISO 10816-7 Zone C: 장기 연속 운전 부적합. 진동 원인 파악 및 정비 계획 필요.","진동 원인 조사. 정비 일정 수립.",ISO_10816-7_2009
23,ISO_10816_7,vibration_standard,critical,Accelerometer1RMS,all,zone_d,"> 7.1 mm/s RMS","N/A","즉시 정지","ISO 10816-7 Zone D: 손상 위험 수준. 즉시 운전 중단 및 수리 필요.","즉시 정지. 베어링 및 임펠러 점검.",ISO_10816-7_2009
24,ISO_10816_7,vibration_standard,normal,Accelerometer1RMS,all,alarm_duration,"N/A","10초 이상 초과 시","N/A","ISO 10816-7: 진동값이 임계값을 10초 이상 초과할 경우에만 알람 발령. 순간적 스파이크는 알람에서 제외. DFT A_max 기반 z-score에도 동일 지속시간 조건 적용 권장.","10초 지속 여부 확인 후 알람 판정.",ISO_10816-7_2009
25,ISO_10816_7,vibration_standard,normal,Accelerometer1RMS,all,baseline_change,"N/A","baseline 대비 25% 이상 증가","N/A","ISO 10816-3: 절대값이 Zone B 내에 있어도 baseline 대비 25% 이상 증가 시 이상 징조. DFT A_max 기반 z-score 방식과 상호 보완적으로 사용.","baseline 대비 변화율 모니터링.",ISO_10816-3
26,PUMP_MANUAL,temperature_standard,normal,Temperature,all,motor_housing,"< 80 °C","80 °C","95 °C","산업용 펌프 모터 본체 온도 정상 범위. 롤링 베어링 최대 허용 온도 70°C (JB/T 기준). 주변 온도 40°C 기준 최대 운전 온도 120°C.","온도 80°C 초과 시 윤활 및 냉각 시스템 점검.",PUMP_MANUAL_JB
27,PUMP_MANUAL,temperature_standard,warning,Temperature,all,bearing_housing,"< 75 °C","75 °C","80 °C","펌프 베어링 하우징 온도 정상 범위. 슬라이딩 베어링 최대 65°C. 롤링 베어링 최대 70°C (일반 기준).","베어링 온도 70°C 초과 시 윤활 점검. 축 정렬 확인.",PUMP_MANUAL_GENERAL
28,PUMP_MANUAL,fault_diagnosis,valve_closure,Temperature,all,decreasing,"N/A","SPC: 이동평균 연속 하락 N≥5 포인트","SPC: 기울기 < -0.05°C/s 지속","밸브 닫힘 → 유량 감소 → 모터 냉각 부하 변화 → 온도 변동. [수정] z-score 방식 포기. 온도 z-score AUC가 0.506 이하로 랜덤 수준. SPC 이동평균 트렌드 기반으로 전환. '일정 구간 동안 지속적으로 하락하면 이상' 원칙 적용.","SPC 트렌드 감지 시 밸브 개도 확인. 유량 동시 하락 여부 교차 확인.",PUMP_FAULT_DIAGNOSIS
29,PUMP_MANUAL,fault_diagnosis,cavitation,Accelerometer1RMS,all,irregular_spike,"N/A","z-score > 2.5 (전체 모드 공통)","N/A","캐비테이션 발생 시 불규칙 진동 스파이크. 기포 생성/붕괴로 인한 충격 하중. 입구 밸브 닫힘 시 흡입 압력 감소로 캐비테이션 유발 가능. DFT 광대역 노이즈 증가로 식별.","입구 압력 확인. 흡입 라인 점검. NPSH 검토.",PUMP_FAULT_DIAGNOSIS
30,PUMP_MANUAL,fault_diagnosis,cavitation,Volume_Flow_RateRMS,all,unstable,"N/A","z-score > 2.0","N/A","캐비테이션 발생 시 유량 불안정. 기포로 인한 유량 변동. 유량계 측정값 급격한 변동.","입구 압력 확인. 흡입 라인 점검.",PUMP_FAULT_DIAGNOSIS
31,PUMP_MANUAL,fault_diagnosis,rotor_imbalance,Accelerometer1RMS,all,periodic_high,"N/A","z-score > 2.56 (고유량 DFT A_max 기준)","z-score > 3.5","로터 불균형 → 주기적 진동 증가. 임펠러 마모/부식/이물질 부착으로 불균형 발생. 회전 주파수와 동기된 진동 특성 (DFT 1x 성분). [수정] 모드 분리 + DFT 처리 후 임계값 z > 2.56. AUC 0.803 달성.","임펠러 점검. 이물질 제거. 동적 균형 조정.",PUMP_FAULT_DIAGNOSIS
32,PUMP_MANUAL,fault_diagnosis,misalignment,Accelerometer1RMS,all,high_vibration,"N/A","z-score > 2.0","N/A","펌프-모터 축 정렬 불량 → 진동 증가 + 베어링 온도 상승. 반경방향 및 축방향 진동 모두 증가. DFT 2x 성분 증가로 식별.","축 정렬 재조정. 베어링 온도 모니터링.",PUMP_FAULT_DIAGNOSIS
33,PUMP_MANUAL,fault_diagnosis,bearing_fault,Temperature,all,increasing,"N/A","SPC: 이동평균 연속 상승 N≥5 포인트","SPC: 기울기 > +0.05°C/s 지속","베어링 손상 → 마찰 증가 → 베어링 온도 상승. [수정] 온도 z-score 포기. 상승 트렌드도 SPC 기반으로 탐지. 연속 상승 패턴이 z-score보다 신뢰성 높음.","베어링 교체. 윤활 시스템 점검.",PUMP_FAULT_DIAGNOSIS
34,PUMP_MANUAL,fault_diagnosis,flow_reduction,Volume_Flow_RateRMS,all,gradual_decrease,"N/A","모드별: 저유량 z > 0.45 / 중유량 z > 0.75 / 고유량 z > 1.71","모드별: 저유량 z > 1.0 / 중유량 z > 1.5 / 고유량 z > 2.5","유량 점진적 감소: 임펠러 마모, 실링 링 마모, 내부 누수, 막힘 등. [수정] 모드별 최적 임계값 적용. 기존 z > 1.5 단일 임계값은 모드 분리 미적용으로 저유량 탐지 불량.","임펠러 및 실링 링 점검. 흡입 라인 막힘 확인.",PUMP_FAULT_DIAGNOSIS
35,PUMP_MANUAL,operating_rule,normal,Volume_Flow_RateRMS,all,startup,"N/A","N/A","N/A","펌프 기동 시 토출 밸브 개방 상태에서 최소 부하로 시작. 펌프 및 흡입 라인을 유체로 완전히 채운 후 기동. 공기 제거 필수.","기동 전 프라이밍 확인.",PUMP_MANUAL_GENERAL
36,PUMP_MANUAL,operating_rule,normal,Temperature,all,warmup,"N/A","N/A","N/A","펌프 기동 후 워밍업 기간(약 2~5분) 동안 온도 및 진동 안정화 과정 있음. 이 기간 데이터는 baseline 계산에서 제외 권장. SPC 이동평균 계산 시작도 워밍업 후부터.","기동 후 안정화 기간 데이터 제외. SPC baseline 계산도 워밍업 후 시작.",PUMP_MANUAL_GENERAL
37,SKAB_EDA,anomaly_pattern,valve1,Temperature,all,thermocouple_spike,"N/A","SPC: 순간 상승 후 연속 하락 패턴","N/A","밸브 완전 닫힘 순간 열전대(유체 온도) 급격한 스파이크 발생. 유체 흐름 급정지로 인한 순간 압력/온도 상승. 이후 유체 냉각으로 온도 하락. [수정] 스파이크 후 하락 복합 패턴도 SPC 트렌드로 포착.","밸브 차단 이벤트 확인. 압력 서지 점검.",SKAB_EDA
38,SKAB_EDA,spc_rule,normal,all,all,ucl_lcl,"N/A","UCL = X̄ + 2.66R̄","LCL = X̄ - 2.66R̄","SKAB 논문 기준 SPC 관리한계: UCL = 평균 + 2.66×이동범위평균, LCL = 평균 - 2.66×이동범위평균. mR UCL = 3.27R̄ (이상 산포 판별). 운영 모드별 baseline으로 각각 계산 필수. 진동 탐지에는 DFT 전처리 후 SPC 적용. 온도에는 원시값에 직접 MAMR SPC 적용.","모드 전환 시 해당 모드 SPC 파라미터(X̄, R̄) 교체.",RAAD_LLM_PAPER
39,SKAB_EDA,spc_rule,normal,all,all,adaptive_baseline,"N/A","N/A","N/A","RAAD-LLM Adaptability Mechanism: 정상 판정된 데이터를 기준 데이터셋(C)에 추가하여 baseline 업데이트. 운영 환경 변화에 자동 적응. 모드 변경 시 해당 모드 baseline만 업데이트. SPC X̄와 R̄도 함께 갱신.","정상 판정 데이터 누적으로 baseline 자동 갱신. 모드별 독립 관리.",RAAD_LLM_PAPER
40,SKAB_EDA,anomaly_pattern,rotor_imbalance_linear,Accelerometer1RMS,high_flow,linear_increase,"N/A","z-score > 2.56 (DFT A_max 기반)","z-score > 3.5","로터 불균형 선형 패턴 (other/14): 진동이 시간에 따라 선형적으로 증가. 점진적 불균형 악화. DFT A_max 트렌드 상승으로 조기 감지 가능.","조기 발견 시 계획 정비 가능. DFT A_max 트렌드 모니터링.",SKAB_EDA
41,SKAB_EDA,anomaly_pattern,rotor_imbalance_step,Accelerometer1RMS,high_flow,step_increase,"N/A","z-score > 2.56 (DFT A_max 기반)","z-score > 3.5","로터 불균형 계단형 패턴 (other/15): 진동이 계단식으로 증가. 갑작스러운 불균형 발생. DFT A_max의 계단형 상승으로 포착.","즉각 점검 필요. 이물질 유입 또는 임펠러 파손 의심.",SKAB_EDA
42,SKAB_EDA,anomaly_pattern,water_increase,Volume_Flow_RateRMS,all,gradual_increase,"N/A","모드별 임계값 적용 (z > 0.45/0.75/1.71)","N/A","루프 내 수량 서서히 증가 (other/18): 유량 점진적 증가. 누수 또는 외부 유입.","누수 및 외부 유입 경로 점검.",SKAB_EDA
43,SKAB_EDA,anomaly_pattern,water_sudden,Volume_Flow_RateRMS,all,sudden_increase,"N/A","모드별 임계값 2배 초과 시","N/A","루프 내 수량 급격히 증가 (other/19): 유량 급격 증가. 배관 파손 또는 대량 유입.","즉시 누수 경로 차단. 배관 점검.",SKAB_EDA
44,SKAB_EDA,anomaly_pattern,cavitation_drain,Volume_Flow_RateRMS,all,rapid_decrease,"N/A","z-score > 3.0","N/A","탱크 배수로 인한 캐비테이션 (other/20): 유량 급격 감소 후 캐비테이션 발생. 탱크 수위 급감.","탱크 수위 확인. 펌프 즉시 정지.",SKAB_EDA
45,ISO_13373,vibration_diagnosis,rotor_imbalance,Accelerometer1RMS,all,1x_synchronous,"N/A","DFT 1x 성분 z-score > 2.56 (고유량)","N/A","ISO 13373-3 진동 진단: 로터 불균형은 회전 주파수(1x)와 동기된 진동 성분 증가로 식별. RMS 진동 증가와 함께 DFT 1x 주파수 성분 우세. [적용] DFT A_max = 1x 성분 진폭으로 계산 후 모드별 z-score 적용.","DFT 분석으로 1x 성분 확인. z > 2.56 초과 시 로터 균형 점검.",ISO_13373-3
46,ISO_13373,vibration_diagnosis,misalignment,Accelerometer1RMS,all,2x_component,"N/A","DFT 2x 성분 이상 증가","N/A","ISO 13373-3 진동 진단: 축 정렬 불량은 2x 주파수 성분 증가로 식별. 반경방향과 축방향 모두 진동 증가.","DFT 2x 성분 확인. 축 정렬 재조정.",ISO_13373-3
47,ISO_13373,vibration_diagnosis,bearing_fault,Accelerometer1RMS,all,high_frequency,"N/A","N/A","N/A","ISO 13373-3 진동 진단: 베어링 결함은 베어링 결함 주파수(BPFO/BPFI/BSF/FTF) 증가로 식별. 고주파 성분 증가.","베어링 결함 주파수 분석. 베어링 교체 검토.",ISO_13373-3
48,ISO_13373,vibration_diagnosis,cavitation,Accelerometer1RMS,all,broadband_noise,"N/A","N/A","N/A","ISO 13373-3 진동 진단: 캐비테이션은 광대역 노이즈 증가로 식별. 불규칙 충격 하중으로 특정 주파수 없이 전대역 진동 증가. DFT 스펙트럼 평탄화로 포착.","NPSH 계산. 흡입 라인 압력 증가.",ISO_13373-3
49,PUMP_MANUAL,sensor_correlation,normal,all,all,multi_sensor,"N/A","N/A","N/A","다중 센서 조합 이상 탐지 전략 (모드별): 고유량=진동(1순위)+유량(2순위). 중/저유량=유량(1순위 단독). 온도=SPC 트렌드 전용(보조). 단일 센서 오경보 최소화 목표.","모드 확인 후 해당 모드 1순위 센서 먼저 판단.",PUMP_FAULT_DIAGNOSIS
50,SKAB_EDA,data_quality,normal,all,all,mode_separation,"N/A","N/A","N/A","운영 모드 혼합 데이터 주의: 모드별 센서값 범위가 10배 이상 차이. 모드 구분 없이 전체 데이터로 baseline 계산 시 오탐율 폭발. [핵심 발견] 모드 분리 전 Volume Flow Rate AUC 0.798 → 모드 분리 후 중/저유량 AUC 0.88로 상승. 반드시 모드별 baseline 분리 적용.","유량 기준 모드 자동 판별 후 해당 모드 baseline 적용. 모드 분리가 탐지 성능에 결정적.",SKAB_EDA
51,SKAB_EDA,changepoint_structure,valve1,all,all,cp_definition,"N/A","N/A","N/A","SKAB changepoint 구조: CP1=정상→이상 전환 시작 / CP2=이상 심화 / CP3=이상→회복 전환 시작 / CP4=완전 정상 복귀. anomaly=1 범위는 CP1~CP4 전체 (회복 과정도 이상으로 간주). RAAD-LLM 탐지 목표는 CP1을 최대한 빠르게 감지하는 것.","CP1 탐지 시점을 탐지 지연시간(ADD) 평가 기준으로 사용.",SKAB_EDA
52,SKAB_EDA,changepoint_structure,valve1,Temperature,all,cp_timeline,"N/A","SPC 이동평균 연속 하락 (N≥5)","SPC 기울기 < -0.05°C/s (CP2 근처)","valve1/0.csv 온도 변화 타임라인: CP1(약 560초) 하강 시작 → CP2(약 630초) 최저점 74°C 도달 (이상 시작~최저점 약 70초 소요) → CP3(약 950초) 회복 시작 → CP4(약 980초) 정상 복귀. [수정] z-score 포기 → SPC 이동평균 기울기 기반. 이유: 천천히 단조 하락하는 패턴은 트렌드 탐지가 적합.","CP1 시점(560초) 탐지가 조기 경보 핵심. SPC 이동평균 N=5~10 포인트 권장.",SKAB_EDA
53,SKAB_EDA,anomaly_pattern,valve1,Volume_Flow_RateRMS,low_flow,variance_increase,"N/A","z-score > 0.45","N/A","valve1 이상 구간 유량 패턴: 정상(30~33 L/min 범위 3 L/min) → 이상(31~32 L/min 범위 1 L/min으로 감소). 평균값 소폭 감소 외에 아래쪽 스파이크 빈도 증가가 핵심 신호. [수정] 저유량 최적 임계값 z > 0.45 적용.","유량 이동표준편차 모니터링. 아래쪽 스파이크 빈도 추적.",SKAB_EDA
54,SKAB_EDA,data_quality,normal,all,all,missing_interval,"N/A","N/A","N/A","측정 간격 불규칙: 대부분 1~2초 간격이나 일부 파일 최대 4분 7초 공백 (other/0.csv). 이상 시작 직전 큰 공백 있는 실험은 학습/테스트에서 제외 권장. 워밍업 구간(기동 후 약 2~5분) 데이터도 baseline 계산 제외 권장.","공백 60초 초과 실험 제외. 기동 초기 데이터 제외.",SKAB_EDA
55,SKAB_EDA,detection_strategy,summary,all,high_flow,priority_rule,"N/A","1순위: Accelerometer1RMS z > 2.56 / 2순위: Volume_Flow_RateRMS z > 1.71","N/A","[고유량 모드 탐지 전략] 주 이상: 로터 불균형. 1순위: DFT A_max 기반 진동 z-score > 2.56. 2순위: 유량 z-score > 1.71 교차 검증. 온도 탐지 포기 (고유량에서 z-score AUC 불량). 진동 AUC 0.803 달성 (모드 분리 후). 파이프라인: 진동 원시값 → DFT 윈도우 → A_max 추출 → 고유량 baseline z-score → 임계값 비교.","고유량 모드 진입 시 DFT 처리 자동 활성화. 진동 z > 2.56 초과 시 즉시 알람.",SKAB_EDA
56,SKAB_EDA,detection_strategy,summary,all,mid_flow,priority_rule,"N/A","1순위: Volume_Flow_RateRMS z > 0.75","N/A","[중유량 모드 탐지 전략] 주 이상: 밸브 이상. 1순위: 유량 z-score > 0.75 단독. 진동 탐지 포기 (중유량 진동 AUC 낮음). 온도 탐지 포기 (z-score 방식). 유량 단독 AUC 0.88 달성 (모드 분리 후). 파이프라인: 유량 원시값 → 중유량 baseline z-score → 0.75 초과 시 알람.","중유량 모드에서는 유량 단독 탐지. 진동/온도 z-score 계산 불필요.",SKAB_EDA
57,SKAB_EDA,detection_strategy,summary,all,low_flow,priority_rule,"N/A","1순위: Volume_Flow_RateRMS z > 0.45","N/A","[저유량 모드 탐지 전략] 주 이상: 밸브 이상. 1순위: 유량 z-score > 0.45 단독. 진동 탐지 포기 (저유량 진동값 너무 작음). 온도 탐지 포기 (z-score 방식). 유량 단독 AUC 0.88 달성 (모드 분리 후). 파이프라인: 유량 원시값 → 저유량 baseline z-score → 0.45 초과 시 알람.","저유량 모드에서는 유량 단독 탐지. 임계값 가장 낮음 (0.45) - 작은 변화도 탐지 가능.",SKAB_EDA
58,SKAB_EDA,performance_data,auc_before_mode_separation,Volume_Flow_RateRMS,all,auc,"N/A","N/A","N/A","[모드 분리 전 AUC] 전체 데이터 혼합 baseline 적용 시: Volume Flow Rate AUC 0.798 (유일하게 유의미). Accelerometer1RMS AUC 0.543 (랜덤 수준). Temperature AUC 0.506 (랜덤보다 못함). 모드 혼합으로 인한 baseline 오염이 원인.","모드 분리 전 진동/온도 단독 탐지 사용 금지.",SKAB_EDA
59,SKAB_EDA,performance_data,auc_after_mode_separation,Accelerometer1RMS,high_flow,auc,"N/A","AUC 0.803","N/A","[모드 분리 후 AUC - 고유량 진동] 고유량 baseline 분리 후 Accelerometer1RMS AUC 0.543 → 0.803으로 상승. DFT A_max 기반 z-score > 2.56 적용. 모드 분리가 탐지 성능에 결정적 영향. 이전 단일 baseline 대비 48% 성능 향상.","고유량 모드에서 진동 탐지 신뢰도 충분. z > 2.56 임계값 적용.",SKAB_EDA
60,SKAB_EDA,performance_data,auc_after_mode_separation,Volume_Flow_RateRMS,mid_low_flow,auc,"N/A","AUC 0.88","N/A","[모드 분리 후 AUC - 중/저유량 유량] 중/저유량 baseline 분리 후 Volume Flow Rate AUC 0.798 → 0.88로 상승. 중유량 z > 0.75 / 저유량 z > 0.45 임계값 적용. 모드별 baseline 분리가 탐지 성능에 결정적. 저유량에서 낮은 임계값(0.45)으로 작은 유량 변화도 포착 가능.","중/저유량 모드에서 유량 탐지 신뢰도 높음. 단독 탐지로 충분.",SKAB_EDA
61,RAAD_LLM_PAPER,temperature_detection,trend_rule,Temperature,all,spc_mamr,"N/A","이동평균 연속 하락 N≥5 포인트","이동평균 기울기 slope < -threshold 지속","[온도 SPC MAMR 트렌드 탐지 규칙] z-score 포기 이유: 온도 절대값 변화 폭이 작아 z-score 민감도 불량 (AUC 0.506). 대안: MAMR(Moving Average / Moving Range) 기반 트렌드 탐지. 알고리즘: (1) 이동평균(MA) 계산 (윈도우 N=10). (2) MA 기울기(slope) 계산. (3) slope < -δ가 T초 이상 지속되면 이상 판정. δ와 T는 모드별 baseline에서 설정. 이유: 밸브 이상은 천천히 단조 하락하는 패턴이므로 트렌드 탐지가 적합.","이동평균 기울기 음수 지속 시 밸브 이상 의심. 유량 동시 확인.",RAAD_LLM_PAPER
62,RAAD_LLM_PAPER,temperature_detection,continuous_decrease,Temperature,all,count_rule,"N/A","연속 하락 카운터 ≥ 5","연속 하락 카운터 ≥ 10","[온도 연속 하락 카운터 규칙] 구현 방법: 현재값 < 이전값이면 카운터+1, 아니면 카운터 리셋. 카운터 ≥ 5이면 WARNING, ≥ 10이면 CRITICAL. 이동평균(MA) 기반보다 단순하고 빠른 대안. 밸브 이상에서 5~10포인트(5~10초) 연속 하락 패턴 포착. 이 규칙은 DFT 불필요 - 원시 온도값에 직접 적용.","카운터 5 이상 → 밸브 의심. 10 이상 → 즉시 점검. 유량 동시 하락 확인.",RAAD_LLM_PAPER
63,RAAD_LLM_PAPER,vibration_detection,dft_pipeline,Accelerometer1RMS,high_flow,dft_preprocessing,"N/A","DFT A_max z-score > 2.56","N/A","[진동 DFT 전처리 파이프라인] 논문 수식 4-7 기반. (1) 슬라이딩 윈도우 길이 L으로 진동 시계열 분할. (2) 각 윈도우에 DFT: F(k) = Σ s(t)·e^(-j2πkt/N). (3) 진폭 스펙트럼: A_k = (2/N)|F_k|. (4) 지배 주파수·진폭 추출: f_max = argmax A_k, A_max = A(f_max). (5) A_max를 고유량 baseline μ, σ로 z-score 계산. (6) z > 2.56 초과 시 이상 판정. 이 A_max가 1x 회전 주파수 진폭에 해당.","]고유량 모드에서만 DFT 파이프라인 활성화. 중/저유량에서는 DFT 불필요.",RAAD_LLM_PAPER
